|  题号  |  题解  |  标签  |  难度  | 备注 |
| --- | --- | --- | --- | --- |
|  [0001](https://leetcode-cn.com/problems/two-sum)  |  [两数之和](leetcode/0001-0099/0001.Two%20Sum/README.md)  |  `数组`,`哈希表`  |  简单  |    |
|  [0002](https://leetcode-cn.com/problems/add-two-numbers)  |  [两数相加](leetcode/0001-0099/0002.Add%20Two%20Numbers/README.md)  |  `链表`,`数学`  |  中等  |    |
|  [0003](https://leetcode-cn.com/problems/longest-substring-without-repeating-characters)  |  [无重复字符的最长子串](leetcode/0001-0099/0003.Longest%20Substring%20Without%20Repeating%20Characters/README.md)  |  `哈希表`,`双指针`,`字符串`,`None`  |  中等  |    |
|  [0004](https://leetcode-cn.com/problems/median-of-two-sorted-arrays)  |  [寻找两个正序数组的中位数](leetcode/0001-0099/0004.Median%20of%20Two%20Sorted%20Arrays/README.md)  |  `数组`,`二分查找`,`分治算法`  |  困难  |    |
|  [0005](https://leetcode-cn.com/problems/longest-palindromic-substring)  |  [最长回文子串](leetcode/0001-0099/0005.Longest%20Palindromic%20Substring/README.md)  |  `字符串`,`动态规划`  |  中等  |    |
|  [0006](https://leetcode-cn.com/problems/zigzag-conversion)  |  [Z 字形变换](leetcode/0001-0099/0006.ZigZag%20Conversion/README.md)  |  `字符串`  |  中等  |    |
|  [0007](https://leetcode-cn.com/problems/reverse-integer)  |  [整数反转](leetcode/0001-0099/0007.Reverse%20Integer/README.md)  |  `数学`  |  简单  |    |
|  [0008](https://leetcode-cn.com/problems/string-to-integer-atoi)  |  [字符串转换整数 (atoi)](leetcode/0001-0099/0008.String%20to%20Integer%20%28atoi%29/README.md)  |  `数学`,`字符串`  |  中等  |    |
|  [0009](https://leetcode-cn.com/problems/palindrome-number)  |  [回文数](leetcode/0001-0099/0009.Palindrome%20Number/README.md)  |  `数学`  |  简单  |    |
|  [0010](https://leetcode-cn.com/problems/regular-expression-matching)  |  [正则表达式匹配](leetcode/0001-0099/0010.Regular%20Expression%20Matching/README.md)  |  `字符串`,`动态规划`,`回溯算法`  |  困难  |    |
|  [0011](https://leetcode-cn.com/problems/container-with-most-water)  |  [盛最多水的容器](leetcode/0001-0099/0011.Container%20With%20Most%20Water/README.md)  |  `数组`,`双指针`  |  中等  |    |
|  [0012](https://leetcode-cn.com/problems/integer-to-roman)  |  [整数转罗马数字](leetcode/0001-0099/0012.Integer%20to%20Roman/README.md)  |  `数学`,`字符串`  |  中等  |    |
|  [0013](https://leetcode-cn.com/problems/roman-to-integer)  |  [罗马数字转整数](leetcode/0001-0099/0013.Roman%20to%20Integer/README.md)  |  `数学`,`字符串`  |  简单  |    |
|  [0014](https://leetcode-cn.com/problems/longest-common-prefix)  |  [最长公共前缀](leetcode/0001-0099/0014.Longest%20Common%20Prefix/README.md)  |  `字符串`  |  简单  |    |
|  [0015](https://leetcode-cn.com/problems/3sum)  |  [三数之和](leetcode/0001-0099/0015.3Sum/README.md)  |  `数组`,`双指针`  |  中等  |    |
|  [0016](https://leetcode-cn.com/problems/3sum-closest)  |  [最接近的三数之和](leetcode/0001-0099/0016.3Sum%20Closest/README.md)  |  `数组`,`双指针`  |  中等  |    |
|  [0017](https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number)  |  [电话号码的字母组合](leetcode/0001-0099/0017.Letter%20Combinations%20of%20a%20Phone%20Number/README.md)  |  `深度优先搜索`,`递归`,`字符串`,`回溯算法`  |  中等  |    |
|  [0018](https://leetcode-cn.com/problems/4sum)  |  [四数之和](leetcode/0001-0099/0018.4Sum/README.md)  |  `数组`,`哈希表`,`双指针`  |  中等  |    |
|  [0019](https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list)  |  [删除链表的倒数第N个节点](leetcode/0001-0099/0019.Remove%20Nth%20Node%20From%20End%20of%20List/README.md)  |  `链表`,`双指针`  |  中等  |    |
|  [0020](https://leetcode-cn.com/problems/valid-parentheses)  |  [有效的括号](leetcode/0001-0099/0020.Valid%20Parentheses/README.md)  |  `栈`,`字符串`  |  简单  |    |
|  [0021](https://leetcode-cn.com/problems/merge-two-sorted-lists)  |  [合并两个有序链表](leetcode/0001-0099/0021.Merge%20Two%20Sorted%20Lists/README.md)  |  `链表`  |  简单  |    |
|  [0022](https://leetcode-cn.com/problems/generate-parentheses)  |  [括号生成](leetcode/0001-0099/0022.Generate%20Parentheses/README.md)  |  `字符串`,`回溯算法`  |  中等  |    |
|  [0023](https://leetcode-cn.com/problems/merge-k-sorted-lists)  |  [合并K个升序链表](leetcode/0001-0099/0023.Merge%20k%20Sorted%20Lists/README.md)  |  `堆`,`链表`,`分治算法`  |  困难  |    |
|  [0024](https://leetcode-cn.com/problems/swap-nodes-in-pairs)  |  [两两交换链表中的节点](leetcode/0001-0099/0024.Swap%20Nodes%20in%20Pairs/README.md)  |  `链表`  |  中等  |    |
|  [0025](https://leetcode-cn.com/problems/reverse-nodes-in-k-group)  |  [K 个一组翻转链表](leetcode/0001-0099/0025.Reverse%20Nodes%20in%20k-Group/README.md)  |  `链表`  |  困难  |    |
|  [0026](https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array)  |  [删除排序数组中的重复项](leetcode/0001-0099/0026.Remove%20Duplicates%20from%20Sorted%20Array/README.md)  |  `数组`,`双指针`  |  简单  |    |
|  [0027](https://leetcode-cn.com/problems/remove-element)  |  [移除元素](leetcode/0001-0099/0027.Remove%20Element/README.md)  |  `数组`,`双指针`  |  简单  |    |
|  [0028](https://leetcode-cn.com/problems/implement-strstr)  |  [实现 strStr()](leetcode/0001-0099/0028.Implement%20strStr%28%29/README.md)  |  `双指针`,`字符串`  |  简单  |    |
|  [0029](https://leetcode-cn.com/problems/divide-two-integers)  |  [两数相除](leetcode/0001-0099/0029.Divide%20Two%20Integers/README.md)  |  `数学`,`二分查找`  |  中等  |    |
|  [0030](https://leetcode-cn.com/problems/substring-with-concatenation-of-all-words)  |  [串联所有单词的子串](leetcode/0001-0099/0030.Substring%20with%20Concatenation%20of%20All%20Words/README.md)  |  `哈希表`,`双指针`,`字符串`  |  困难  |    |
|  [0031](https://leetcode-cn.com/problems/next-permutation)  |  [下一个排列](leetcode/0001-0099/0031.Next%20Permutation/README.md)  |  `数组`  |  中等  |    |
